# Vocabulary frequency bands — curated CEFR fallback
# frequency_band: 1=top 1000, 2=top 3000, 3=top 10000
# Match key: english_word (case-insensitive exact match against collection_words.english_word)
# Generated: 2026-05-13
# Source: curated CEFR-aligned frequency mapping
english_word,frequency_band
be,1
have,1
do,1
say,1
get,1
make,1
go,1
know,1
take,1
see,1
come,1
think,1
look,1
want,1
give,1
use,1
find,1
tell,1
ask,1
seem,1
feel,1
try,1
leave,1
call,1
keep,1
let,1
begin,1
show,1
hear,1
play,1
run,1
move,1
live,1
believe,1
hold,1
bring,1
happen,1
write,1
provide,1
sit,1
stand,1
lose,1
pay,1
meet,1
include,1
continue,1
set,1
learn,1
change,1
lead,1
understand,1
watch,1
follow,1
stop,1
create,1
speak,1
read,1
spend,1
grow,1
open,1
walk,1
win,1
offer,1
remember,1
love,1
consider,1
appear,1
buy,1
wait,1
serve,1
die,1
send,1
expect,1
build,1
stay,1
fall,1
cut,1
reach,1
kill,1
raise,1
pass,1
sell,1
need,1
require,1
turn,1
put,1
mean,1
become,1
leave,1
start,1
help,1
talk,1
work,1
I,1
you,1
he,1
she,1
it,1
we,1
they,1
the,1
a,1
an,1
in,1
on,1
at,1
to,1
of,1
and,1
but,1
or,1
not,1
with,1
for,1
is,1
are,1
was,1
were,1
this,1
that,1
my,1
your,1
his,1
her,1
our,1
their,1
its,1
good,1
new,1
old,1
big,1
small,1
young,1
long,1
great,1
little,1
high,1
right,1
large,1
next,1
early,1
important,1
different,1
black,1
white,1
red,1
blue,1
green,1
hot,1
cold,1
easy,1
hard,1
free,1
open,1
close,1
same,1
other,1
last,1
first,1
own,1
true,1
nice,1
happy,1
bad,1
real,1
sure,1
day,1
time,1
year,1
people,1
man,1
woman,1
child,1
world,1
life,1
hand,1
place,1
week,1
home,1
point,1
water,1
word,1
food,1
school,1
house,1
family,1
money,1
country,1
name,1
city,1
eye,1
night,1
head,1
friend,1
book,1
job,1
door,1
body,1
car,1
country,1
face,1
room,1
mother,1
father,1
brother,1
sister,1
son,1
daughter,1
boy,1
girl,1
dog,1
cat,1
bird,1
tree,1
flower,1
one,1
two,1
three,1
four,1
five,1
six,1
seven,1
eight,1
nine,1
ten,1
here,1
there,1
where,1
when,1
what,1
who,1
why,1
how,1
now,1
then,1
today,1
tomorrow,1
yesterday,1
yes,1
no,1
please,1
thank,1
hello,1
sorry,1
okay,1
always,1
never,1
often,1
sometimes,1
very,1
much,1
many,1
more,1
most,1
some,1
any,1
all,1
every,1
each,1
few,1
both,1
already,1
still,1
just,1
only,1
also,1
too,1
again,1
back,1
about,1
up,1
down,1
out,1
off,1
over,1
after,1
before,1
around,1
between,1
through,1
into,1
under,1
above,1
below,1
near,1
away,1
phone,1
table,1
chair,1
bed,1
window,1
computer,1
pen,1
paper,1
bag,1
key,1
cup,1
glass,1
bottle,1
road,1
street,1
town,1
village,1
park,1
shop,1
market,1
hospital,1
airport,1
bank,1
restaurant,1
hotel,1
doctor,1
teacher,1
student,1
office,1
police,1
morning,1
afternoon,1
evening,1
month,1
number,1
letter,1
color,1
music,1
sport,1
game,1
team,1
class,1
lesson,1
language,1
answer,1
question,1
problem,1
idea,1
example,1
story,1
news,1
photo,1
picture,1
map,1
list,1
information,1
able,2
about,2
address,2
advice,2
afraid,2
age,2
agree,2
air,2
alone,2
already,2
although,2
angry,2
animal,2
area,2
arrive,2
article,2
attention,2
average,2
aware,2
beautiful,2
behavior,2
belong,2
better,2
between,2
break,2
bring,2
business,2
busy,2
cake,2
call,2
careful,2
carry,2
cause,2
center,2
certain,2
chance,2
character,2
charge,2
choice,2
clean,2
clear,2
collect,2
common,2
complete,2
computer,2
condition,2
contain,2
control,2
correct,2
cost,2
culture,2
dangerous,2
dark,2
decide,2
deep,2
design,2
develop,2
difficult,2
direct,2
discuss,2
dream,2
drive,2
drop,2
during,2
earth,2
education,2
effect,2
else,2
email,2
energy,2
enough,2
environment,2
especially,2
even,2
evening,2
event,2
exact,2
example,2
except,2
exercise,2
experience,2
explain,2
fact,2
fail,2
fair,2
fall,2
famous,2
far,2
fast,2
favorite,2
fill,2
film,2
finish,2
fit,2
fix,2
floor,2
fly,2
foreign,2
form,2
fresh,2
front,2
full,2
fun,2
future,2
general,2
happen,2
health,2
heavy,2
help,2
history,2
hope,2
hour,2
however,2
human,2
hundred,2
hungry,2
hurt,2
improve,2
include,2
increase,2
indeed,2
information,2
instead,2
interest,2
international,2
invite,2
join,2
kind,2
kitchen,2
knowledge,2
late,2
least,2
leave,2
level,2
light,2
line,2
listen,2
local,2
matter,2
message,2
mind,2
minute,2
modern,2
moment,2
natural,2
necessary,2
nothing,2
notice,2
often,2
order,2
outside,2
page,2
pair,2
part,2
party,2
past,2
perfect,2
plan,2
popular,2
possible,2
power,2
prefer,2
present,2
price,2
probably,2
process,2
program,2
project,2
protect,2
public,2
purpose,2
quickly,2
quite,2
ready,2
reason,2
receive,2
recently,2
relation,2
remember,2
report,2
return,2
result,2
safe,2
season,2
second,2
simple,2
situation,2
size,2
skill,2
social,2
something,2
space,2
special,2
spend,2
step,2
strange,2
subject,2
suggest,2
summer,2
support,2
system,2
temperature,2
though,2
thousand,2
together,2
travel,2
type,2
understand,2
until,2
useful,2
usually,2
value,2
various,2
view,2
voice,2
vote,2
whether,2
whole,2
window,2
winter,2
wonder,2
wrong,2
ability,3
absence,3
abstract,3
academic,3
access,3
accompany,3
accomplish,3
accurate,3
achieve,3
acknowledge,3
acquire,3
adapt,3
adequate,3
administration,3
admire,3
adopt,3
advantage,3
afford,3
aggressive,3
allocate,3
alternative,3
ambiguous,3
analyze,3
annual,3
anxiety,3
appreciate,3
approach,3
appropriate,3
approximately,3
argue,3
arrangement,3
aspect,3
assess,3
assign,3
associate,3
assume,3
atmosphere,3
attitude,3
authority,3
available,3
benefit,3
capacity,3
challenge,3
circumstance,3
claim,3
colleague,3
commitment,3
communication,3
compare,3
competence,3
complicated,3
comprehensive,3
concentrate,3
concept,3
conclude,3
confident,3
conflict,3
consequence,3
considerable,3
consistent,3
context,3
contrast,3
contribute,3
controversial,3
convention,3
convince,3
cope,3
corporation,3
critical,3
crucial,3
data,3
debate,3
dedicate,3
define,3
demonstrate,3
deposit,3
description,3
despite,3
determine,3
development,3
distinction,3
distribute,3
diverse,3
document,3
dominant,3
effective,3
efficient,3
eliminate,3
emphasis,3
enable,3
encounter,3
enhance,3
enormous,3
establish,3
evaluate,3
evidence,3
evolution,3
examine,3
expand,3
facility,3
factor,3
feature,3
focus,3
function,3
fundamental,3
generate,3
genuine,3
global,3
govern,3
guarantee,3
guideline,3
hypothesis,3
identify,3
illustrate,3
impact,3
implement,3
imply,3
indicate,3
individual,3
influence,3
infrastructure,3
initiative,3
innovation,3
institution,3
integrate,3
interpret,3
investigate,3
involve,3
issue,3
justify,3
legislation,3
maintain,3
majority,3
management,3
mechanism,3
method,3
migrate,3
minimize,3
modify,3
monitor,3
negotiate,3
objective,3
obtain,3
outcome,3
participate,3
perceive,3
perspective,3
phenomenon,3
policy,3
potential,3
priority,3
promote,3
proportion,3
pursue,3
recognize,3
regulation,3
relevant,3
represent,3
resource,3
restrict,3
retain,3
reveal,3
significant,3
solution,3
statistics,3
strategy,3
structure,3
substantial,3
sufficient,3
sustainable,3
technology,3
tendency,3
theory,3
transfer,3
transform,3
transition,3
trend,3
ultimately,3
unique,3
utilize,3
variation,3
version,3
vision,3
vocabulary,3
vulnerable,3
widespread,3
