passer;прохожий, проходящий;A passer stopped to help me pick up my books.;Прохожий остановился, чтобы помочь мне собрать книги.;B1
snouted;носатый, с рылом;A snouted fish swam near the rocks.;Носатая рыба плавала рядом со скалами.;C1
pell;шкура, кожа;The hunter sold the deer pell at the market.;Охотник продал оленью шкуру на рынке.;C2
mell;вмешиваться, соваться;Don’t mell with things you don’t understand.;Не вмешивайся в то, чего не понимаешь.;C2
unhand;отпустить, освободить;Unhand my arm at once!;Отпусти мою руку немедленно!;C1
reck;заботиться, считаться с;She didn’t reck the danger and kept walking.;Она не считалась с опасностью и продолжала идти.;C2
monger;торговец, разносчик;He was a fish monger in the old market.;Он был торговцем рыбой на старом рынке.;C1
bulse;мешочек для драгоценностей, пакет с драгоценностями;He locked the bulse of diamonds in the safe.;Он запер мешочек с бриллиантами в сейфе.;C2
heartedly;искренне, от всего сердца;She agreed heartedly to the plan.;Она искренне согласилась с планом.;B2
crusher;дробилка, давилка;The rock crusher turned the stones into gravel.;Камнедробилка превратила камни в щебень.;C1
committal;обязывающий, компрометирующий;He avoided making a committal statement.;Он избегал делать обязывающее заявление.;C1
klaxon;клаксон, сигнальная сирена;The klaxon blared during the drill.;Во время учений громко завыл клаксон.;B2
skelter;беспорядок, суматоха;Books lay in skelter after the move.;После переезда книги лежали в беспорядке.;C2
projectile;снаряд, метательный предмет;The catapult launched a projectile over the wall.;Катапульта запустила снаряд через стену.;B2
zig;делать зигзаг, резко сворачивать;The rabbit zigged left to escape.;Кролик резко свернул зигзагом влево, чтобы спастись.;C1
dee;буква «ди», буква D;In spelling, he said dee for D.;При произнесении по буквам он сказал «ди» вместо буквы D.;C1
entrail;кишка, внутренность;The entrail was rinsed and set aside.;Кишку промыли и отложили.;C1
eared;ушастый, с ушами;An eared owl perched on a branch.;Ушастая сова сидела на ветке.;B2
spattering;брызги, разбрызгивание;There was a spattering of mud on his shoes.;На его ботинках были брызги грязи.;C1
layered;слоистый, многослойный;She wore a layered dress in cool weather.;В прохладную погоду она надела многослойное платье.;B2
rater;оценщик, составитель рейтингов;The rater gave the movie five stars.;Оценщик поставил фильму пять звезд.;B2
dope;наркотик, допинг;The athlete was caught using dope.;Спортсмена поймали на употреблении допинга.;B2
