level,file_order,source_module_id,source_filename,title,title_en,db_module_id,db_module_number,db_module_title,db_match_status,source_lesson_count,source_lesson_order,listening_quiz_lesson_ids,translation_quiz_lesson_ids,listening_immersion_lesson_ids
A1,1,1,module_A1_1_greetings.json,Знакомство и приветствия,Greetings and Introductions,1,1,Знакомство и приветствия,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,6,10,11
A1,2,2,module_A1_2_numbers_and_colors.json,Предметы вокруг нас,Objects Around Us,2,2,Предметы вокруг нас,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,18,22,23
A1,3,3,module_A1_3_clothing.json,Одежда,Clothing,3,3,Одежда,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,390,394,395
A1,4,4,module_A1_4_objects_around_us.json,Числа и цвета,Numbers and Colors,4,4,Числа и цвета,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,522,526,527
A1,5,5,module_A1_5_classroom_objects.json,Предметы в классе и комнате,Classroom Objects,5,5,Предметы в классе и комнате,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,654,658,659
A1,6,6,module_A1_6_family.json,Семья,Family,6,6,Семья,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,786,790,791
A1,7,7,module_A1_7_home_and_furniture.json,Дом и мебель,Home and Furniture,7,7,Дом и мебель,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,882,886,887
A1,8,8,module_A1_8_days_and_time.json,Дни недели и время,Days and Time,8,8,Дни недели и время,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,894,898,899
A1,9,9,module_A1_9_weather_and_seasons.json,Погода и времена года,Weather and Seasons,9,9,Погода и времена года,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,906,910,911
A1,10,10,module_A1_10_daily_routine.json,Повседневная жизнь,Daily Routine,10,10,Повседневная жизнь,matched,12,1:vocabulary|2:flashcards|3:grammar|4:quiz|5:reading|6:listening_quiz|7:dialogue_completion_quiz|8:ordering_quiz|9:flashcards|10:translation_quiz|11:listening_immersion|12:final_test,30,34,35
