# Vocabulary IPA transcriptions — priority words (A1-C1)
# Column: english_word — case-insensitive match against collection_words.english_word
# Column: ipa        — stored WITHOUT surrounding slashes; template adds /…/ on render
# Generated: 2026-05-13
# Coverage: ~250 high-frequency words sorted by CEFR level then alpha
english_word,ipa
be,biː
have,hæv
do,duː
say,seɪ
get,ɡɛt
make,meɪk
go,ɡoʊ
know,noʊ
take,teɪk
see,siː
come,kʌm
think,θɪŋk
look,lʊk
want,wɑːnt
give,ɡɪv
use,juːz
find,faɪnd
tell,tɛl
ask,æsk
seem,siːm
feel,fiːl
try,traɪ
leave,liːv
call,kɔːl
keep,kiːp
let,lɛt
begin,bɪˈɡɪn
show,ʃoʊ
play,pleɪ
run,rʌn
move,muːv
live,lɪv
hold,hoʊld
bring,brɪŋ
write,raɪt
read,riːd
sit,sɪt
stand,stænd
lose,luːz
pay,peɪ
meet,miːt
turn,tɜːrn
eat,iːt
drink,drɪŋk
sleep,sliːp
work,wɜːrk
love,lʌv
help,hɛlp
need,niːd
speak,spiːk
learn,lɜːrn
start,stɑːrt
stop,stɒp
wait,weɪt
open,ˈoʊpən
close,kloʊz
put,pʊt
buy,baɪ
sell,sɛl
understand,ˌʌndərˈstænd
thank,θæŋk
become,bɪˈkʌm
happen,ˈhæpən
remember,rɪˈmɛmbər
change,tʃeɪndʒ
walk,wɔːk
watch,wɒtʃ
listen,ˈlɪsən
hear,hɪr
answer,ˈænsər
talk,tɔːk
number,ˈnʌmbər
people,ˈpiːpəl
water,ˈwɔːtər
year,jɪr
day,deɪ
time,taɪm
life,laɪf
world,wɜːrld
home,hoʊm
hand,hænd
place,pleɪs
week,wiːk
city,ˈsɪti
family,ˈfæməli
school,skuːl
student,ˈstuːdənt
group,ɡruːp
country,ˈkʌntri
job,dʒɒb
question,ˈkwɛstʃən
friend,frɛnd
child,tʃaɪld
money,ˈmʌni
book,bʊk
eye,aɪ
night,naɪt
way,weɪ
idea,aɪˈdɪə
body,ˈbɒdi
road,roʊd
face,feɪs
door,dɔːr
food,fuːd
house,haʊs
room,ruːm
town,taʊn
car,kɑːr
word,wɜːrd
girl,ɡɜːrl
boy,bɔɪ
man,mæn
woman,ˈwʊmən
head,hɛd
name,neɪm
street,striːt
phone,foʊn
table,ˈteɪbəl
chair,tʃɛr
window,ˈwɪndoʊ
hour,aʊər
minute,ˈmɪnɪt
morning,ˈmɔːrnɪŋ
evening,ˈiːvnɪŋ
mother,ˈmʌðər
father,ˈfɑːðər
brother,ˈbrʌðər
sister,ˈsɪstər
teacher,ˈtiːtʃər
letter,ˈlɛtər
office,ˈɒfɪs
store,stɔːr
information,ˌɪnfərˈmeɪʃən
community,kəˈmjuːnɪti
history,ˈhɪstəri
service,ˈsɜːrvɪs
result,rɪˈzʌlt
reason,ˈriːzən
decision,dɪˈsɪʒən
experience,ɪkˈspɪriəns
program,ˈproʊɡræm
system,ˈsɪstəm
problem,ˈprɒbləm
company,ˈkʌmpəni
government,ˈɡʌvərnmənt
business,ˈbɪznɪs
achieve,əˈtʃiːv
analyze,ˈænəlaɪz
approach,əˈproʊtʃ
argue,ˈɑːrɡjuː
consider,kənˈsɪdər
create,kriˈeɪt
define,dɪˈfaɪn
demonstrate,ˈdɛmənstreɪt
describe,dɪˈskraɪb
develop,dɪˈvɛləp
discuss,dɪˈskʌs
establish,ɪˈstæblɪʃ
evaluate,ɪˈvæljueɪt
explain,ɪkˈspleɪn
identify,aɪˈdɛntɪfaɪ
improve,ɪmˈpruːv
increase,ɪnˈkriːs
indicate,ˈɪndɪkeɪt
influence,ˈɪnfluəns
involve,ɪnˈvɒlv
manage,ˈmænɪdʒ
obtain,əbˈteɪn
provide,prəˈvaɪd
relate,rɪˈleɪt
require,rɪˈkwaɪər
suggest,səˈdʒɛst
support,səˈpɔːrt
assume,əˈsuːm
benefit,ˈbɛnɪfɪt
challenge,ˈtʃælɪndʒ
communicate,kəˈmjuːnɪkeɪt
compete,kəmˈpiːt
complete,kəmˈpliːt
concentrate,ˈkɒnsəntreɪt
context,ˈkɒntɛkst
contrast,ˈkɒntrɑːst
contribute,kənˈtrɪbjuːt
culture,ˈkʌltʃər
current,ˈkʌrənt
debate,dɪˈbeɪt
determine,dɪˈtɜːrmɪn
emphasis,ˈɛmfəsɪs
energy,ˈɛnərdʒi
focus,ˈfoʊkəs
function,ˈfʌŋkʃən
generate,ˈdʒɛnəreɪt
global,ˈɡloʊbəl
impact,ˈɪmpækt
implement,ˈɪmplɪmɛnt
integrate,ˈɪntɪɡreɪt
interpret,ɪnˈtɜːrprɪt
investigate,ɪnˈvɛstɪɡeɪt
issue,ˈɪʃuː
method,ˈmɛθəd
network,ˈnɛtwɜːrk
option,ˈɒpʃən
perspective,pərˈspɛktɪv
policy,ˈpɒlɪsi
potential,pəˈtɛnʃəl
process,ˈproʊsɛs
project,ˈprɒdʒɛkt
promote,prəˈmoʊt
propose,prəˈpoʊz
protect,prəˈtɛkt
publish,ˈpʌblɪʃ
range,reɪndʒ
reduce,rɪˈdjuːs
reflect,rɪˈflɛkt
region,ˈriːdʒən
represent,ˌrɛprɪˈzɛnt
resource,ˈriːsɔːrs
respond,rɪˈspɒnd
significant,sɪɡˈnɪfɪkənt
similar,ˈsɪmɪlər
source,sɔːrs
specific,spəˈsɪfɪk
strategy,ˈstrætɪdʒi
structure,ˈstrʌktʃər
success,səkˈsɛs
traditional,trəˈdɪʃənəl
development,dɪˈvɛləpmənt
situation,ˌsɪtʃuˈeɪʃən
environment,ɪnˈvaɪrənmənt
opportunity,ˌɒpərˈtjuːnɪti
education,ˌɛdʒuˈkeɪʃən
management,ˈmænɪdʒmənt
knowledge,ˈnɒlɪdʒ
performance,pərˈfɔːrməns
communication,kəˌmjuːnɪˈkeɪʃən
organization,ˌɔːrɡənɪˈzeɪʃən
relationship,rɪˈleɪʃənʃɪp
difference,ˈdɪfrəns
acquire,əˈkwaɪər
advocate,ˈædvəkɪt
anticipate,ænˈtɪsɪpeɪt
appreciate,əˈpriːʃieɪt
appropriate,əˈproʊpriɪt
capacity,kəˈpæsɪti
circumstance,ˈsɜːrkəmstæns
collaborate,kəˈlæbəreɪt
comprehensive,ˌkɒmprɪˈhɛnsɪv
consequence,ˈkɒnsɪkwəns
construct,kənˈstrʌkt
contemporary,kənˈtɛmpərɛri
criterion,kraɪˈtɪəriən
crucial,ˈkruːʃəl
distinguish,dɪˈstɪŋɡwɪʃ
elaborate,ɪˈlæbərɪt
emphasize,ˈɛmfəsaɪz
enhance,ɪnˈhɑːns
enormous,ɪˈnɔːrməs
explicit,ɪkˈsplɪsɪt
facilitate,fəˈsɪlɪteɪt
fundamental,ˌfʌndəˈmɛntəl
hypothesis,haɪˈpɒθɪsɪs
implicit,ɪmˈplɪsɪt
innovation,ˌɪnəˈveɪʃən
intellectual,ˌɪntɪˈlɛktʃuəl
intrinsic,ɪnˈtrɪnsɪk
maintain,meɪnˈteɪn
manipulate,məˈnɪpjuleɪt
phenomenon,fɪˈnɒmɪnɒn
preliminary,prɪˈlɪmɪnəri
subsequent,ˈsʌbsɪkwənt
sustainable,səˈsteɪnəbəl
theoretical,ˌθɪəˈrɛtɪkəl
underlying,ˌʌndərˈlaɪɪŋ
virtually,ˈvɜːrtʃuəli
