phrasal_verb,russian_translate,using,sentence
"add up","сходиться; складываться","о цифрах/фактах: иметь смысл","Your story doesn’t add up.<br>Твоя история не сходится."
"aim at","быть нацеленным на","цель/аудитория","This course is aimed at beginners.<br>Этот курс нацелен на новичков."
"ask around","поспрашивать","искать информацию у людей","I’ll ask around and see what I can find.<br>Я поспрашиваю и посмотрю, что смогу узнать."
"ask out","пригласить на свидание","романтическое приглашение","He asked her out for Friday.<br>Он пригласил её на свидание в пятницу."
"back down","отступить","не настаивать дальше","She wouldn’t back down.<br>Она не собиралась отступать."
"back out (of)","отказаться (в последний момент)","выйти из договорённости","He backed out of the plan.<br>Он отказался от плана в последний момент."
"back up","поддержать; сделать бэкап","поддержка/копирование данных","Please back up your files.<br>Пожалуйста, сделай резервную копию файлов."
"beef up","усилить; укрепить","улучшить безопасность/качество","We need to beef up security.<br>Нам нужно усилить безопасность."
"bear with","потерпеть; подождать","вежливая просьба","Bear with me for a second.<br>Потерпи меня секунду."
"black out","потерять сознание; отключиться","обморок/потеря памяти","He blacked out from the heat.<br>Он потерял сознание от жары."
"blow up","взорваться; вспылить","взрыв или злость","He blew up at the comment.<br>Он вспылил из-за этого комментария."
"boil down to","сводиться к","про суть","It boils down to trust.<br>Всё сводится к доверию."
"book in","зарегистрироваться; заселиться","отель/официальная регистрация","We booked in at the hotel.<br>Мы зарегистрировались в отеле."
"book up","быть полностью забронированным","о местах/услугах","The flights are booked up.<br>Рейсы полностью забронированы."
"break down","сломаться; расплакаться","техника/эмоции","My car broke down again.<br>Моя машина снова сломалась."
"break in","вломиться; разносить (обувь)","проникновение/привыкание","Someone tried to break in.<br>Кто-то пытался вломиться."
"break into","вломиться; резко начать","проникнуть куда-то","They broke into the office.<br>Они вломились в офис."
"break out","вспыхнуть; начаться","пожар/эпидемия/бунт","A fire broke out.<br>Начался пожар."
"break up","расстаться; распасться","отношения/группа","They broke up last month.<br>Они расстались в прошлом месяце."
"bring about","вызвать; привести к","причина изменений","The reform brought about change.<br>Реформа привела к изменениям."
"bring back","вернуть; напомнить","возврат/воспоминания","This song brings back memories.<br>Эта песня вызывает воспоминания."
"bring in","привлечь; принести доход","люди/деньги","The ad brought in customers.<br>Реклама привлекла клиентов."
"bring out","раскрыть; выпустить","таланты/продукт","That job brings out her skills.<br>Эта работа раскрывает её навыки."
"bring up","воспитывать; поднять тему","семья/разговор","He brought up a good point.<br>Он поднял хороший вопрос."
"brush up on","освежить знания","повторить","I’m brushing up on English.<br>Я освежаю английский."
"build up","наращивать; укреплять","постепенный рост","She built up confidence.<br>Она нарастила уверенность."
"bump into","случайно встретить","неожиданная встреча","I bumped into Anna downtown.<br>Я случайно встретил Анну в центре."
"burn down","сгореть дотла","о зданиях/лесах","The house burned down.<br>Дом сгорел дотла."
"burn out","выгореть","усталость от работы","He burned out at his job.<br>Он выгорел на работе."
"butt in","вмешаться","в разговор без приглашения","Sorry to butt in.<br>Извини, что вмешиваюсь."
"call back","перезвонить","ответ на звонок","I’ll call you back later.<br>Я перезвоню тебе позже."
"call for","требовать","нуждаться в действии","This calls for a quick fix.<br>Это требует быстрого решения."
"call off","отменить","событие/план","They called off the meeting.<br>Они отменили встречу."
"call on","обратиться; вызвать отвечать","официальное обращение","The teacher called on me.<br>Учитель вызвал меня отвечать."
"call up","позвонить","разговорное","I’ll call up my friend.<br>Я позвоню другу."
"calm down","успокоиться","снизить эмоции","Calm down, please.<br>Пожалуйста, успокойся."
"carry on","продолжать","не прекращать","Carry on with your work.<br>Продолжай свою работу."
"carry out","выполнить","план/задача","They carried out the test.<br>Они провели тест."
"catch on","понять; стать популярным","осмыслить/мода","I’m starting to catch on.<br>Кажется, я начинаю понимать."
"catch up","догнать; наверстать","по времени/делам","I need to catch up on sleep.<br>Мне нужно наверстать сон."
"check in","зарегистрироваться","отель/рейс","We checked in early.<br>Мы зарегистрировались рано."
"check out","выписаться; проверить","отель/осмотр","Check out this website.<br>Зацени этот сайт."
"cheer up","повеселеть; подбодрить","улучшить настроение","Cheer up!<br>Не унывай!"
"chip in","скинуться; вмешаться","деньги/мнение","We all chipped in for a gift.<br>Мы все скинулись на подарок."
"clean up","убраться; очистить","навести порядок","Let’s clean up the mess.<br>Давай уберём этот беспорядок."
"clear out","освободить; убраться","избавиться от хлама","We cleared out the closet.<br>Мы разобрали шкаф."
"clear up","прояснить; улучшиться","погода/ситуация","The misunderstanding cleared up.<br>Недоразумение прояснилось."
"close down","закрыть (бизнес)","прекратить работу","The shop closed down.<br>Магазин закрылся."
"come across","наткнуться","случайная находка","I came across an old letter.<br>Я наткнулся на старое письмо."
"come along","присоединиться; продвигаться","приглашение/прогресс","Come along and meet us.<br>Пойдём с нами."
"come around","очнуться; изменить мнение","возврат сознания/взглядов","He came around quickly.<br>Он быстро пришёл в себя."
"come back","вернуться","возврат","I’ll come back tomorrow.<br>Я вернусь завтра."
"come by","зайти; достать","неформально","Come by after work.<br>Зайди после работы."
"come down","снизиться; спуститься","цены/температура","Prices have come down.<br>Цены снизились."
"come down with","заболеть","начало болезни","I’m coming down with a cold.<br>Кажется, я начинаю простужаться."
"come off","получиться; отвалиться","результат/физически","The plan came off well.<br>План хорошо удался."
"come on","давай; ну же","подбадривание","Come on, we’re late.<br>Давай, мы опаздываем."
"come out","выйти; раскрыться","продукт/информация","The truth came out.<br>Правда раскрылась."
"come over","зайти в гости","неформальный визит","Come over tonight.<br>Заходи сегодня вечером."
"come through","сдержать обещание; помочь","поддержка в нужный момент","You really came through.<br>Ты правда выручил."
"come up","возникнуть","идея/проблема","Something came up.<br>Появилось срочное дело."
"come up with","придумать","идея/решение","She came up with a solution.<br>Она придумала решение."
"count on","рассчитывать на","надежность","You can count on me.<br>Ты можешь на меня рассчитывать."
"cover for","подменить; прикрыть","на работе","Can you cover for me?<br>Можешь меня подменить?"
"cover up","скрыть","замять","They tried to cover it up.<br>Они пытались это скрыть."
"crack down on","усилить меры против","официальный контроль","They cracked down on fraud.<br>Они усилили меры против мошенничества."
"cross out","вычеркнуть","редактирование текста","Cross out the wrong word.<br>Вычеркни неправильное слово."
"cut back","сократить","расходы/объём","We’re cutting back on spending.<br>Мы сокращаем расходы."
"cut down","срубить; сократить","деревья/объём","They cut down the tree.<br>Они срубили дерево."
"cut down on","уменьшить потребление","привычки/еда","I’m cutting down on кофе.<br>Я сокращаю кофе."
"cut in","влезть; подрезать","разговор/дорога","Don’t cut in while I’m talking.<br>Не перебивай, когда я говорю."
"cut off","отрезать; отключить","связь/разговор","His microphone cut off.<br>Его микрофон отключился."
"cut out","вырезать; исключить","убрать привычку","Try to cut out sugar.<br>Попробуй исключить сахар."
"deal with","иметь дело; справляться","проблемы/люди","I can deal with this.<br>Я могу с этим справиться."
"dive into","с головой погрузиться","начать активно","Let’s dive into the project.<br>Давай с головой займёмся проектом."
"do over","переделать","сделать заново","We had to do it over.<br>Нам пришлось переделать."
"do up","застегнуть; отремонтировать","одежда/дом","Do up your jacket.<br>Застегни куртку."
"do without","обойтись без","отказ от чего-то","I can do without dessert.<br>Я могу обойтись без десерта."
"drag on","тянуться долго","о длительных процессах","The meeting dragged on.<br>Встреча затянулась."
"dress up","нарядиться","официальная одежда","She dressed up for the event.<br>Она нарядилась для мероприятия."
"drop by","зайти ненадолго","короткий визит","Drop by anytime.<br>Заходи в любое время."
"drop off","подвезти; оставить; снизиться","доставка/уменьшение","I’ll drop you off at 8.<br>Я высажу тебя в 8."
"drop out","бросить (учёбу)","прекратить обучение","He dropped out of college.<br>Он бросил колледж."
"eat out","есть вне дома","рестораны/кафе","We eat out on weekends.<br>Мы едим вне дома по выходным."
"eat up","съесть полностью","до конца","Eat up your dinner.<br>Доедай ужин."
"end up","в итоге оказаться","результат","We ended up поздно.<br>В итоге мы задержались допоздна."
"face up to","признать; столкнуться","неприятная реальность","You must face up to the facts.<br>Нужно признать факты."
"fall apart","развалиться","буквально/образно","The old chair fell apart.<br>Старый стул развалился."
"fall behind","отставать","график/учёба","I fell behind on work.<br>Я отстал по работе."
"fall for","влюбиться; купиться","человек/обман","He fell for the scam.<br>Он купился на мошенничество."
"fall out","поссориться","конфликт","They fell out over money.<br>Они поссорились из-за денег."
"fall through","сорваться","планы не состоялись","Our trip fell through.<br>Наша поездка сорвалась."
"figure out","разобраться; понять","найти решение","I can’t figure it out.<br>Я не могу в этом разобраться."
"fill in","заполнить; подменить","форма/замена","Could you fill in for me?<br>Можешь меня подменить?"
"fill out","заполнить полностью","анкета/бланк","Please fill out this form.<br>Пожалуйста, заполните этот бланк."
"fill up","заполнить; заправить","бак/место","Let’s fill up the tank.<br>Давай заправим бак."
"find out","узнать","получить информацию","I found out the truth.<br>Я узнал правду."
"fit in","вписаться","соц. адаптация","It’s hard to fit in at first.<br>Сначала трудно вписаться."
"fix up","починить; привести в порядок","ремонт/внешний вид","He fixed up the bike.<br>Он починил велосипед."
"freak out","паниковать","сильная эмоция","Don’t freak out.<br>Не паникуй."
"get across","донести мысль","ясно объяснить","She got her idea across.<br>Она донесла свою идею."
"get ahead","продвигаться","карьера/успех","He wants to get ahead.<br>Он хочет продвинуться."
"get along","ладить","отношения","We get along well.<br>Мы хорошо ладим."
"get around","передвигаться; обходить","транспорт/правила","I get around by bike.<br>Я передвигаюсь на велосипеде."
"get around to","добраться до дела","наконец сделать","I’ll get around to it soon.<br>Я скоро до этого доберусь."
"get away","уехать отдохнуть; сбежать","отпуск","We need to get away.<br>Нам нужно куда-нибудь выбраться."
"get away with","сойти с рук","избежать наказания","He got away with it.<br>Ему это сошло с рук."
"get back","вернуться","возврат","I’ll get back by six.<br>Я вернусь к шести."
"get back to","ответить; вернуться к теме","коммуникация","I’ll get back to you.<br>Я тебе отвечу."
"get by","справляться; жить на минимум","финансы/жизнь","We can get by for now.<br>Пока мы справимся."
"get down","расстроиться","эмоции","Don’t get down.<br>Не унывай."
"get down to","приступить к","начать серьёзно","Let’s get down to work.<br>Давай приступим к работе."
"get in","войти; приехать","прибытие/вход","What time did you get in?<br>Во сколько ты приехал?"
"get into","увлечься; попасть","интерес/проблемы","She got into photography.<br>Она увлеклась фотографией."
"get off","выйти; отделаться","транспорт/наказание","I get off at the next stop.<br>Я выхожу на следующей остановке."
"get on","садиться; ладить","транспорт/отношения","He got on the bus.<br>Он сел в автобус."
"get on with","продолжать; ладить","двигаться дальше","Let’s get on with it.<br>Давай продолжим."
"get out","выходить; выбраться","покинуть место","Get out of the car.<br>Выйди из машины."
"get over","пережить; выздороветь","эмоции/болезнь","She got over the flu.<br>Она выздоровела от гриппа."
"get rid of","избавиться от","удалить/выбросить","I got rid of old books.<br>Я избавился от старых книг."
"get through","пройти; дозвониться","трудность/связь","We got through the exam.<br>Мы справились с экзаменом."
"get together","собираться","встреча","Let’s get together Friday.<br>Давай встретимся в пятницу."
"get up","вставать","утренний распорядок","I get up at seven.<br>Я встаю в семь."
"give away","отдать; выдать секрет","подарки/информация","He gave away the ending.<br>Он выдал концовку."
"give back","вернуть","возврат","Give it back, please.<br>Верни, пожалуйста."
"give in","сдаться; уступить","после сопротивления","She gave in at last.<br>Она наконец уступила."
"give out","раздавать; закончиться","ресурсы/силы","The batteries gave out.<br>Батарейки сели."
"give up","бросить; сдаться","привычки/попытки","Don’t give up.<br>Не сдавайся."
"go ahead","продолжайте; начинайте","разрешение","Go ahead and start.<br>Продолжай и начинай."
"go along with","согласиться","поддержать идею","I’ll go along with you.<br>Я соглашусь с тобой."
"go back","вернуться","возврат","We went back home.<br>Мы вернулись домой."
"go by","руководствоваться; проходить","правило/время","I go by the rules.<br>Я руководствуюсь правилами."
"go down","снижаться; происходить","цены/события","Prices went down.<br>Цены снизились."
"go for","выбрать; стремиться","выбор/цель","I’ll go for the cheaper one.<br>Я выберу подешевле."
"go off","сработать; испортиться","будильник/еда","The alarm went off.<br>Будильник сработал."
"go on","продолжать","разговор/действие","Go on, I’m listening.<br>Продолжай, я слушаю."
"go out","выходить; погаснуть","развлечения/свет","We went out for lunch.<br>Мы вышли пообедать."
"go over","пересмотреть; повторить","проверка деталей","Let’s go over the plan.<br>Давай пересмотрим план."
"go through","пройти через; просмотреть","опыт/документы","I went through the files.<br>Я просмотрел файлы."
"go up","расти","цены/уровни","Rent went up again.<br>Аренда снова выросла."
"go with","сочетаться","одежда/стиль","This ties goes with your suit.<br>Этот галстук подходит к костюму."
"grow up","вырасти","детство → взрослость","I grew up in Kyiv.<br>Я вырос в Киеве."
"hand in","сдать","работы/документы","Hand in your homework.<br>Сдайте домашнее задание."
"hand out","раздавать","материалы","They handed out brochures.<br>Они раздавали брошюры."
"hand over","передать","официально отдать","Hand over your ID.<br>Передайте ваш документ."
"hang on","подождать; держаться","ожидание","Hang on a moment.<br>Подожди минутку."
"hang out","тусоваться","неформально","We hang out after class.<br>Мы тусуемся после занятий."
"hang up","повесить трубку","телефон","He hung up suddenly.<br>Он внезапно повесил трубку."
"head out","отправляться","в путь","We’re heading out now.<br>Мы сейчас выходим."
"hear from","получить весточку","коммуникация","I heard from her yesterday.<br>Я получил от неё сообщение вчера."
"help out","выручить","оказать помощь","Thanks for helping out.<br>Спасибо, что выручил."
"hold back","сдерживать","эмоции/действия","He held back tears.<br>Он сдерживал слёзы."
"hold on","подождать","пауза","Hold on, please.<br>Подождите, пожалуйста."
"hold up","задержать; затормозить","время/процесс","Traffic held us up.<br>Пробки нас задержали."
"iron out","уладить","мелкие проблемы","We’ll iron out the details.<br>Мы уладим детали."
"join in","присоединиться","к активности","Join in the game.<br>Присоединяйся к игре."
"keep away","держать подальше","предотвращение риска","Keep children away from fire.<br>Держите детей подальше от огня."
"keep on","продолжать","упорство","Keep on trying.<br>Продолжай пытаться."
"keep out","не пускать","запрет доступа","Keep out of my room.<br>Не заходи в мою комнату."
"keep up","не отставать; поддерживать","темп","I can’t keep up.<br>Я не успеваю."
"keep up with","успевать за","люди/новости","I can’t keep up with the news.<br>Я не успеваю следить за новостями."
"kick off","начать","мероприятие","The event kicks off at 7.<br>Мероприятие начинается в 7."
"knock down","сбить; снести","физическое воздействие","The wind knocked down the fence.<br>Ветер повалил забор."
"knock out","вырубить; сильно впечатлить","спорт/эффект","That heat knocked me out.<br>Эта жара меня вырубила."
"lay off","уволить; перестать придираться","работа/разговор","They laid off ten workers.<br>Они уволили десять сотрудников."
"leave out","не включить; пропустить","информация/человек","Don’t leave out the details.<br>Не пропускай детали."
"leave behind","оставить позади","вещи/прошлое","I left my umbrella behind.<br>Я оставил зонтик."
"let down","подвести","ожидания","He let me down.<br>Он меня подвёл."
"let in","впустить","доступ","Let me in, please.<br>Впусти меня, пожалуйста."
"let off","отпустить с лёгким наказанием","предупреждение","He was let off with a warning.<br>Его отпустили с предупреждением."
"line up","выстроиться; запланировать","очередь/планы","We lined up early.<br>Мы встали в очередь рано."
"live on","жить на","источник средств","She lives on a small salary.<br>Она живёт на небольшую зарплату."
"live up to","соответствовать ожиданиям","качество/обещания","The movie lived up to expectations.<br>Фильм оправдал ожидания."
"lock up","запереть","безопасность","Lock up before you leave.<br>Запри перед уходом."
"log in","войти в систему","аккаунт","Log in with your email.<br>Войдите с помощью email."
"log out","выйти из системы","завершение сессии","Please log out.<br>Пожалуйста, выйдите из системы."
"look after","присматривать; заботиться","уход","Can you look after my cat?<br>Можешь присмотреть за моей кошкой?"
"look around","осматриваться","в новом месте","We looked around the city.<br>Мы осмотрели город."
"look back on","вспоминать","о прошлом","I look back on it warmly.<br>Я вспоминаю это с теплом."
"look down on","смотреть свысока","презрение","Don’t look down on others.<br>Не смотри на других свысока."
"look for","искать","поиск","I’m looking for my keys.<br>Я ищу ключи."
"look forward to","ждать с нетерпением","приятное ожидание","I look forward to your reply.<br>Жду вашего ответа."
"look into","изучить; расследовать","проверка","We’ll look into the issue.<br>Мы изучим проблему."
"look out","осторожно","предупреждение","Look out!<br>Осторожно!"
"look out for","присматривать; высматривать","опасности/люди","Look out for scams.<br>Остерегайся мошенничества."
"look over","просмотреть бегло","быстрая проверка","Could you look over this text?<br>Можешь быстро просмотреть этот текст?"
"look through","просматривать внимательно","поиск в материалах","I looked through the notes.<br>Я пролистал заметки."
"look up","посмотреть (в справочнике)","поиск информации","I’ll look it up online.<br>Я посмотрю это в интернете."
"look up to","уважать; равняться","роль модели","I look up to my dad.<br>Я равняюсь на отца."
"make do","обойтись","импровизация","We’ll make do with this.<br>Мы обойдёмся этим."
"make out","разобрать; целоваться","понять текст/звук","I can’t make out his words.<br>Я не могу разобрать его слова."
"make up","помириться; выдумать","конфликт/история","They made up quickly.<br>Они быстро помирились."
"make up for","компенсировать","исправить недостаток","I’ll make up for the delay.<br>Я компенсирую задержку."
"mess up","испортить; напутать","ошибка","I messed up the address.<br>Я перепутал адрес."
"mix up","перепутать","путаница","I mixed up the dates.<br>Я перепутал даты."
"move in","въехать","жильё","They moved in вчера.<br>Они вчера въехали."
"move out","съехать","жильё","I’m moving out soon.<br>Я скоро съезжаю."
"move on","двигаться дальше","жизнь/работа","It’s time to move on.<br>Пора двигаться дальше."
"narrow down","сузить выбор","отбор вариантов","We narrowed down the list.<br>Мы сократили список."
"nod off","задремать","лёгкий сон","I nodded off in the bus.<br>Я задремал в автобусе."
"open up","открыть; раскрыться","эмоции/доступ","She opened up to me.<br>Она раскрылась мне."
"opt out","отказаться от участия","официальный отказ","You can opt out anytime.<br>Вы можете отказаться в любое время."
"pack up","собрать вещи","переезд/поездка","We packed up and left.<br>Мы собрали вещи и ушли."
"pass away","скончаться","вежливо о смерти","He passed away peacefully.<br>Он мирно скончался."
"pass by","проходить мимо","движение","I passed by your офис.<br>Я проходил мимо твоего офиса."
"pass out","потерять сознание","обморок","She passed out from stress.<br>Она потеряла сознание от стресса."
"pay back","вернуть долг","финансы","I’ll pay you back tomorrow.<br>Я верну тебе деньги завтра."
"pay off","окупиться; выплатить","результат усилий/долг","Hard work paid off.<br>Тяжёлый труд окупился."
"pick on","дразнить; придираться","негативное отношение","Stop picking on him.<br>Перестань его дразнить."
"pick out","выбрать","из вариантов","Pick out a подарок.<br>Выбери подарок."
"pick up","поднять; забрать; подхватить","повседневные ситуации","I’ll pick you up at 8.<br>Я заеду за тобой в 8."
"play along","подыгрывать","не спорить, поддержать игру","I just played along.<br>Я просто подыграл."
"play down","преуменьшать","уменьшать значимость","He played down the risk.<br>Он преуменьшил риск."
"point out","указать","обратить внимание","She pointed out a mistake.<br>Она указала на ошибку."
"polish off","быстро закончить (еду/дело)","разговорно","He polished off the cake.<br>Он быстро доел торт."
"pop in","заскочить ненадолго","короткий визит","I’ll pop in later.<br>Я заскочу позже."
"pour out","излить; вылить","эмоции/жидкость","She poured out her feelings.<br>Она излила свои чувства."
"print out","распечатать","документы","Print out the tickets.<br>Распечатай билеты."
"pull over","съехать к обочине","вождение","He pulled over safely.<br>Он безопасно съехал к обочине."
"pull through","выкарабкаться","после болезни/кризиса","He pulled through the illness.<br>Он оправился после болезни."
"put across","донести идею","ясное изложение","He put the message across.<br>Он донёс мысль."
"put away","убрать; отложить","вещи/деньги","Put away your phone.<br>Убери телефон."
"put down","положить; унизить","контекстный","Don’t put yourself down.<br>Не принижай себя."
"put forward","выдвинуть","идея/предложение","She put forward a plan.<br>Она выдвинула план."
"put off","откладывать","перенос дела","Don’t put it off.<br>Не откладывай это."
"put on","надеть; включить; устроить","одежда/событие","He put on his coat.<br>Он надел пальто."
"put out","потушить; опубликовать","огонь/материал","They put out the fire.<br>Они потушили пожар."
"put up","повесить; разместить; приютить","объявления/жильё","We can put you up tonight.<br>Мы можем приютить тебя на ночь."
"put up with","терпеть","раздражающее","I can’t put up with this noise.<br>Я не могу терпеть этот шум."
"read over","перечитать","проверка текста","Read it over once more.<br>Перечитай это ещё раз."
"reach out","связаться; протянуть помощь","инициировать контакт","Reach out if you need help.<br>Напиши, если нужна помощь."
"rely on","полагаться на","доверие","I rely on you.<br>Я на тебя рассчитываю."
"rip off","обмануть; содрать цену","мошенничество","They ripped me off.<br>Меня обманули."
"roll out","запустить","продукт/функция","They rolled out the update.<br>Они выпустили обновление."
"run away","сбежать","уход/побег","He ran away from home.<br>Он сбежал из дома."
"run into","случайно встретить; столкнуться","встреча/проблемы","I ran into an issue.<br>Я столкнулся с проблемой."
"run out","закончиться","ресурс/время","Time is running out.<br>Время заканчивается."
"run out of","закончиться (чего-то)","полное исчерпание","We ran out of milk.<br>У нас закончилось молоко."
"run over","переехать; кратко повторить","машина/обзор","Let’s run over the agenda.<br>Давай кратко пройдёмся по повестке."
"rule out","исключить вариант","принятие решения","We can rule out Monday.<br>Мы можем исключить понедельник."
"save up","накопить","деньги/ресурсы","I’m saving up for a trip.<br>Я коплю на поездку."
"see off","проводить (в путь)","прощание","We went to see her off.<br>Мы поехали её проводить."
"see through","раскусить; довести до конца","обман/задача","I saw through his lie.<br>Я раскусил его ложь."
"sell out","распродать; продаться","товар/принципы","The concert sold out.<br>Концерт был распродан."
"send back","отправить назад","возврат товара","I sent it back.<br>Я отправил это обратно."
"set aside","отложить; выделить","время/деньги","Set aside some money.<br>Отложи немного денег."
"set off","отправиться; вызвать","путешествие/реакция","We set off at dawn.<br>Мы отправились на рассвете."
"set out","отправиться; изложить","путь/цели","She set out her аргументы.<br>Она изложила свои аргументы."
"set up","организовать; настроить","встреча/система","I set up a call.<br>Я организовал созвон."
"shake off","стряхнуть; избавиться","чувства/проблемы","He shook off the fear.<br>Он избавился от страха."
"shop around","сравнить цены","поиск лучшего варианта","Shop around before buying.<br>Сравни цены перед покупкой."
"show off","хвастаться","демонстрация","He was showing off.<br>Он хвастался."
"show up","появиться","прийти","She didn’t show up.<br>Она не пришла."
"shut down","закрыть; выключить","бизнес/система","The server shut down.<br>Сервер выключился."
"sign in","войти; отметиться","регистрация/вход","Please sign in here.<br>Пожалуйста, отметьтесь здесь."
"sign up","записаться","регистрация","I signed up for the course.<br>Я записался на курс."
"sit down","сесть","простое действие","Sit down, please.<br>Садитесь, пожалуйста."
"sleep in","поспать подольше","утренний режим","I slept in today.<br>Сегодня я поспал подольше."
"slow down","сбавить темп","скорость/работа","Slow down a bit.<br>Немного сбавь темп."
"sort out","разобраться; привести в порядок","решить проблему","We’ll sort it out.<br>Мы разберёмся."
"speak up","говорить громче; высказаться","уверенность/громкость","Speak up, I can’t hear you.<br>Говори громче, я тебя не слышу."
"speed up","ускориться","процесс","We must speed up production.<br>Нам нужно ускорить производство."
"split up","разделиться; расстаться","группа/пара","They split up after years.<br>Они расстались после многих лет."
"stand by","быть наготове; поддерживать","ожидание/лояльность","I’ll stand by you.<br>Я буду на твоей стороне."
"stand out","выделяться","заметность","Her work stands out.<br>Её работа выделяется."
"stand up for","защищать","принципы/людей","Stand up for your права.<br>Защищай свои права."
"stay in","остаться дома","домашний план","We stayed in tonight.<br>Сегодня мы остались дома."
"stay over","остаться ночевать","в гостях","You can stay over.<br>Ты можешь остаться ночевать."
"step down","уйти в отставку","официальная роль","He stepped down as director.<br>Он ушёл с должности директора."
